INSEE;lon;lat
200032514;2.90;47.15
241900133;2.03;45.36
200023307;0.69;44.38
200066553;2.74;43.65
200036499;9.41;42.55
242020071;9.12;42.23
200041507;-4.22;42.06
200071967;6.70;46.32
200069391;-2.47;48.43
246200299;2.97;50.44
244500211;2.61;47.70
246401756;-0.25;43.14
247800550;1.62;48.82
200034270;7.43;48.38
200058097;2.51;48.95
243900354;6.05;46.47
200041994;-0.19;46.40
200035103;0.34;48.56
243400470;4.02;43.60
200077014;4.87;45.52
246800585;7.09;48.03
200069151;3.50;44.29
200034031;2.41;43.87
200066561;2.45;43.68
248719338;1.60;45.68
200041515;6.05;48.88
200066322;1.10;44.07
200043495;3.63;49.56
200068088;3.22;47.19
200023794;-0.57;45.13
200040442;5.18;43.82
200035111;0.13;48.61
200040202;5.92;43.61
243200391;0.63;43.92
246800395;7.21;48.26
200068294;6.49;47.44
243400488;3.15;43.32
240300566;2.63;46.48
200034049;2.25;43.78
245300223;-0.52;47.94
248400335;5.11;44.23
200036473;-0.59;45.74
200040681;4.93;44.41
200027076;2.32;46.84
249500513;1.74;49.13
200066371;1.70;44.88
200070852;5.88;46.00
243500725;-2.08;48.60
243800935;5.13;45.77
200066132;5.19;49.43
241800374;2.66;47.06
200041325;7.97;48.78
200040657;5.90;44.91
200071942;1.09;46.20
200044394;-0.05;44.56
244600573;1.61;44.62
200096956;0.69;44.18
200023778;-1.85;46.71
200037133;3.31;48.62
244400586;-2.03;47.24
200040418;1.07;44.27
242900074;-4.68;48.45
200042646;3.14;43.68
244701405;0.48;44.46
248719312;1.25;45.85
246100390;-0.28;48.77
245300447;-0.67;47.82
247400682;6.64;46.23
200018083;1.82;50.68
243500733;-1.80;48.39
200066389;-1.09;49.09
200041333;-0.21;46.63
244500484;2.05;48.03
200066140;5.23;48.93
248300543;6.04;43.12
248500662;-1.00;46.96
200040426;3.44;49.78
247100290;4.39;46.72
200066116;5.11;49.20
200039931;6.92;44.04
200007052;1.79;46.47
200069185;3.35;44.83
200034023;1.77;43.69
200041572;0.60;45.40
200070647;0.42;44.85
200039907;6.28;48.98
200041788;-2.90;42.08
200085751;4.93;45.38
200066355;3.65;43.45
200070407;3.21;45.48
246000913;1.85;49.41
200040475;-0.15;47.97
200073344;1.84;48.62
200068914;0.43;45.68
200071769;3.34;49.52
200069193;5.04;46.05
200071520;-0.67;48.67
200039915;6.97;43.56
200073104;9.04;42.57
200004802;6.72;43.62
243100732;1.60;43.70
240300558;2.76;46.63
200056232;2.22;48.70
245701222;6.07;49.32
200066363;1.73;42.71
200041556;1.93;46.36
200016905;4.57;45.00
246000921;2.59;49.31
200041317;-0.50;46.27
245700398;6.82;49.11
248300550;6.27;43.36
200036069;0.52;48.51
200068922;0.43;44.30
200066124;1.83;43.89
200040244;-0.55;46.86
249100074;2.10;48.63
200071777;4.21;48.57
200042463;2.29;43.38
200073112;0.20;47.70
248500415;-0.77;46.65
200071538;5.05;46.62
200018406;1.75;47.34
247300361;6.26;45.34
200050532;1.46;41.97
248400160;4.86;44.20
245701271;6.07;49.24
200068096;6.18;44.73
200057958;2.63;48.84
200070894;4.95;47.16
200041366;4.78;44.93
242504447;6.30;47.34
200066173;5.53;49.34
200072650;0.60;47.25
200071983;3.62;49.94
247600604;1.42;49.84
246700926;7.95;49.00
244000766;-0.85;43.87
